,Pyruvate,,,Lactate,,,Alanine,,,Glycine,,,Valine,,,Leucine,,,Isoleucine,,,Succinate 1,,,Succinate 2,,,Succinate 3,,,Succinate 4,,,Proline,,,Fumarate 1,,,Fumarate 2,,,Fumarate 3,,,Methionine,,,Serine,,,a-kg,,,Threonine,,,Phenylalanine,,,Malate 1,,,Malate 2,,,Aspartate,,,Glutamate,,,Lysine,,,Histidine,,,Histidine,,,Citrate 1,,,Citrate 2,,,Citrate 3,,,Tyrosine,,,
LF3_10,22187,1009997,,105835,380983,,26664,477714,,26965,449421,,6381,382554,,42394,454222,,9530,413257,,61949,14912,,13441,33135,,952148,228213,,100825,0,,1130,292058,,275700,90873,,1587820,387210,,178781,0,,15959,486583,,28757,775027,,31540,596484,,9246,475742,,8730,519504,,287280,106788,,123428,620127,,100585,500263,,572985,932279,,36112,0,,6888,628533,,6888,628533,,157030,61798,,49556,655246,,247657,0,,5797,445725,,
LF3_5,29684,1079937,,219344,394532,,33255,502251,,74527,483416,,7912,393435,,49984,464872,,12185,423807,,84964,20434,,13639,31207,,971598,234057,,103950,0,,963,335598,,324379,101735,,1676535,408488,,189146,0,,18709,499220,,36076,805970,,24220,606347,,10282,452276,,11032,530902,,314881,116697,,137201,639845,,147002,520104,,407507,951827,,47498,0,,8463,573608,,8463,573608,,172706,67133,,49928,589037,,223263,0,,7244,445460,,
HB13_0,17705,418400,,78448,155140,,19287,178977,,48941,172728,,5416,149874,,25068,175947,,6491,154562,,21877,5470,,4051,12090,,363920,86794,,38440,0,,1081,107260,,51857,21567,,568416,138736,,65178,0,,8834,175854,,26858,307723,,4933,181704,,7772,185021,,6964,198055,,33954,15917,,52120,242654,,9976,216704,,41797,358932,,105060,0,,6688,140219,,6688,140219,,50583,21302,,18500,240965,,91233,0,,4624,164830,,
HB13_10,27636,806771,,104473,299223,,24882,389989,,340829,377356,,5386,299922,,27231,354662,,7399,326190,,71716,17484,,11928,24039,,715327,170749,,75424,0,,1262,221168,,268354,83660,,1224638,298671,,139376,0,,16486,360717,,25995,591082,,27239,427233,,7295,339764,,5913,386364,,340366,126349,,122392,469621,,107607,373419,,495988,698241,,20432,0,,5768,472559,,5768,472559,,69203,27920,,27260,462950,,176509,0,,3861,324377,,
HB13_5,16474,380660,,39442,141720,,11216,157944,,98623,156777,,2204,131436,,13829,149746,,3633,137975,,39732,9667,,6017,12229,,338771,80720,,35638,0,,441,86059,,100597,32973,,469231,113581,,53822,0,,6112,158645,,11606,272050,,11248,160086,,3579,169846,,3069,175351,,147437,55488,,60599,219820,,55585,167945,,201882,306164,,14608,0,,1934,138820,,1934,138820,,62610,24420,,18108,198104,,74837,0,,1906,143848,,
HB3_0,21679,461762,,63575,165000,,22232,197714,,39563,174328,,5603,167299,,23677,194016,,7347,176838,,20986,5279,,3982,13102,,399904,95513,,42201,0,,642,124958,,67508,25330,,645994,157833,,74572,0,,9125,196886,,21939,328241,,5667,207429,,7381,183515,,5915,219215,,40115,17420,,53269,266782,,9335,230607,,42020,380983,,157498,0,,6096,123353,,6096,123353,,99734,41029,,30534,295157,,111865,0,,4105,180936,,
HB3_10,25706,870967,,153827,329334,,20772,429589,,44485,415525,,5254,328023,,29310,388138,,8181,354313,,54136,13170,,9984,26929,,812208,194004,,85846,0,,727,208906,,217790,74949,,1377096,335968,,158133,0,,14190,414470,,21689,689358,,13318,518985,,5948,391913,,6017,438207,,229750,89314,,109684,532060,,81195,467688,,315464,801520,,31656,0,,5059,544824,,5059,544824,,79281,32382,,33109,538329,,204492,0,,3809,370303,,
HB3_5,14892,564746,,91172,208098,,12131,233998,,30872,223860,,3180,191465,,15745,218830,,4796,201909,,35595,8705,,6215,16504,,494173,118491,,52349,0,,364,112243,,153514,48893,,793415,192007,,89389,0,,7563,227014,,12253,377197,,42768,215702,,4067,227095,,3317,253573,,263006,96062,,89182,330268,,35880,207716,,415368,439067,,28638,0,,1795,175439,,1795,175439,,49339,19757,,17948,293001,,110553,0,,2148,211486,,
HB4_0,28681,560536,,78817,221885,,34408,280201,,40224,264330,,9738,225690,,41877,263764,,12451,239902,,30482,7588,,5561,17368,,535756,128312,,56721,0,,1559,186197,,77556,31274,,803145,196188,,92073,0,,15026,274240,,42836,473626,,8581,281621,,13731,273443,,11199,300364,,57090,25161,,72909,359621,,17266,325147,,70771,552837,,171926,0,,14365,263127,,14365,263127,,118351,47687,,34732,362789,,137188,0,,7705,251152,,
HB4_10,23238,582012,,71602,223840,,15856,260797,,17506,255669,,3299,211727,,17822,244271,,5304,224275,,46351,11240,,7651,17947,,539454,129124,,56955,0,,561,154030,,149863,50965,,848617,206388,,96932,0,,8966,260996,,16144,443929,,16618,295130,,4637,251249,,3634,280837,,223404,85659,,86313,354031,,65768,282010,,333432,506623,,22729,0,,3074,289601,,3074,289601,,47299,19117,,19187,319131,,120706,0,,2550,242063,,
HB4_5,39167,855985,,126784,334894,,31618,435150,,26535,406353,,6547,329611,,34246,383930,,10640,353653,,90602,21928,,13647,27637,,815515,194174,,85745,0,,967,218275,,280523,90263,,1293758,316181,,148867,0,,15640,412731,,28240,678691,,38338,458294,,8931,394819,,7185,436990,,423549,158948,,155047,542996,,135398,415087,,592777,793369,,36131,0,,7133,524771,,7133,524771,,108296,42976,,35995,481031,,183210,0,,4673,363138,,
HF13_0,17921,440040,,71815,165687,,21488,185003,,175734,189123,,5026,154517,,27850,176960,,6042,161465,,27026,6667,,4643,13083,,394450,93704,,41479,0,,560,102831,,51080,21595,,590924,143876,,68115,0,,9887,181133,,25142,311070,,5201,194344,,8603,204389,,7779,203912,,37534,16869,,54767,260878,,9736,218123,,41215,355968,,116969,0,,6080,124298,,6080,124298,,56875,24155,,20417,257193,,98147,0,,4596,158464,,
HF13_10,35594,1100114,,188680,420336,,36708,547769,,685861,537421,,5961,412732,,40304,487346,,8518,445966,,100983,24515,,15547,33978,,1000059,240832,,105959,0,,1492,303732,,359447,112981,,1614401,392855,,183025,0,,18443,525939,,31551,864270,,31915,663561,,9311,511995,,8186,548643,,465591,172513,,162228,664629,,170169,570979,,645223,998404,,26905,0,,7181,707616,,7181,707616,,80951,33127,,35604,664097,,251889,0,,4603,431880,,
HF13_5,30309,939329,,141033,357191,,29263,466739,,178862,433425,,5234,355309,,33094,413779,,8791,382882,,107600,25928,,15502,30110,,872715,209431,,92490,0,,1478,265951,,317721,97273,,1298979,315751,,147095,0,,15692,450003,,25447,726950,,38765,520608,,7480,426324,,7106,477213,,453347,167322,,160789,583817,,152034,444500,,633946,860789,,31750,0,,6873,598575,,6873,598575,,137235,53687,,41474,520606,,197543,0,,4436,391151,,
HF3_0,38504,891131,,97475,328879,,43683,423849,,98064,411711,,10347,329900,,51588,387780,,12769,351781,,50790,12508,,8288,25652,,789020,189269,,84025,0,,1871,252306,,166862,60703,,1406291,344872,,160963,0,,19052,408400,,46681,686478,,12657,435118,,14169,386488,,10740,435458,,133011,53746,,121252,534429,,12620,472122,,74245,803376,,335562,0,,14951,311888,,14951,311888,,214347,86901,,60499,542389,,205966,0,,7627,358319,,
HF3_10,25053,955886,,76328,370347,,26423,485782,,35604,461714,,6700,370104,,32996,436500,,9217,398939,,63118,15337,,11418,29297,,900136,216099,,95723,0,,955,249464,,304016,97792,,1654613,402353,,186375,0,,15717,465416,,28009,759826,,30768,599491,,8313,422684,,6666,492592,,341226,127366,,132227,595717,,120002,503338,,569406,903758,,31538,0,,6264,640371,,6264,640371,,113672,45342,,40295,648363,,247021,0,,4444,419007,,
HF3_5,22988,857490,,145099,330578,,23490,408808,,28212,391998,,5518,324568,,29480,381132,,8743,347678,,65582,15855,,10424,25547,,803458,192756,,85361,0,,700,206995,,269150,84851,,1413716,343839,,159509,0,,14428,407121,,27460,670678,,18159,522738,,6724,354992,,5955,436130,,280958,104196,,113657,524450,,115077,450738,,356437,774928,,41173,0,,5151,480661,,5151,480661,,102648,40681,,35844,554324,,209822,0,,4030,356744,,
HF4_0,46434,868591,,95543,322063,,34931,375225,,65402,370618,,10631,302584,,43671,349490,,12879,317594,,43489,10936,,8005,24751,,779291,185046,,83762,0,,1087,211438,,113905,48029,,1346860,330907,,155755,0,,16470,363142,,41443,616827,,12526,427534,,15719,402994,,10925,393621,,101071,45234,,113707,521838,,15800,429828,,76778,698009,,262154,0,,10201,221188,,10201,221188,,154990,63234,,47295,516197,,195969,0,,6972,289183,,
HF4_10,52536,986921,,93069,380809,,35128,497416,,223031,482680,,5375,373070,,31363,439856,,8557,402343,,112258,27308,,17029,31930,,934904,223250,,98694,0,,1043,264483,,300829,101093,,1482170,364109,,171741,0,,16360,479474,,35844,798736,,27006,530733,,8003,458237,,6606,497921,,386364,151993,,150157,610608,,142772,508329,,448877,907525,,35175,0,,7412,625460,,7412,625460,,75227,30865,,30845,515061,,196245,0,,4410,415482,,
HF4_5,24447,523955,,57516,190226,,16250,214277,,27965,210656,,3325,175033,,17641,199531,,4804,183380,,51025,12428,,7746,15642,,452330,108083,,47807,0,,570,111197,,177706,55990,,702630,171576,,80410,0,,7913,212446,,15312,361138,,14695,245955,,4645,214945,,3761,232717,,223810,85040,,80541,296480,,90946,234655,,246753,412387,,27672,0,,2638,196914,,2638,196914,,53694,21279,,18819,274742,,104007,0,,2530,194479,,
LB4_0,29944,919592,,142775,331158,,37163,393590,,101759,384487,,10473,321790,,48729,374355,,13229,339736,,30346,7547,,6431,25302,,777028,185845,,81935,0,,1172,232752,,111673,47348,,1435804,351393,,164934,0,,19166,386505,,40913,639740,,7968,463496,,15560,396163,,10904,413645,,94161,38773,,102772,524624,,17276,454485,,62657,741738,,388169,0,,10941,217625,,10941,217625,,262516,105067,,69787,593588,,225927,0,,6935,309964,,
LB4_10,41492,1105195,,153538,414517,,28822,536755,,39692,492190,,6772,409412,,39446,475065,,9450,435613,,56595,14046,,13171,31779,,992410,237930,,107925,0,,898,266840,,293512,100015,,1945421,477317,,224491,0,,17948,507415,,31793,831620,,28724,633325,,10132,515294,,7437,533324,,406004,152063,,166703,674620,,105049,529546,,677206,964082,,53611,0,,5636,524057,,5636,524057,,122059,48545,,44018,694395,,264283,0,,4709,424949,,
LB4_5,15834,475095,,51952,174260,,12308,200960,,23279,196771,,3102,166618,,16449,190825,,4653,175711,,35433,8540,,5884,14141,,425496,100815,,44619,0,,622,111523,,163030,50246,,721120,173662,,80961,0,,7462,203248,,12782,344619,,12141,252475,,4124,202437,,3343,224783,,189206,69885,,67731,281410,,88660,230471,,257986,401578,,35451,0,,2306,191666,,2306,191666,,53684,21171,,18690,284037,,106650,0,,2255,187340,,
LF13_0,33143,938512,,156873,352718,,58998,463272,,86285,448615,,17192,355481,,81530,418999,,22777,380067,,40570,9991,,7880,28888,,846083,201895,,89322,0,,1802,263425,,113783,48597,,1420669,347968,,162992,0,,28876,440841,,79489,752942,,9017,515483,,28089,459575,,23661,465456,,60705,26315,,104156,569425,,26185,536334,,112115,878738,,262577,0,,27729,469677,,27729,469677,,135364,55443,,46635,596183,,227299,0,,15457,375911,,
LF13_10,13430,500698,,66458,187124,,12759,215106,,16899,209455,,3639,177825,,21808,203551,,5854,187132,,26748,6582,,5509,14663,,450858,107754,,47712,0,,515,124200,,122847,41276,,805515,194537,,90371,0,,9041,218065,,15907,367034,,11258,271422,,4950,214864,,5030,238112,,131137,48488,,55131,296241,,54774,248502,,219537,425391,,20412,0,,3117,249047,,3117,249047,,84672,33023,,24831,323013,,122601,0,,3178,201246,,
LF13_5,33910,981076,,135367,378976,,34386,490668,,41151,474861,,8507,375726,,61855,442762,,14191,403472,,70762,17130,,11548,29465,,927480,221515,,97389,0,,1339,296328,,229243,80213,,1688276,413817,,192161,0,,24250,481249,,41484,802212,,12602,610545,,11592,440003,,14718,504140,,290913,109668,,128627,614088,,136831,551332,,388853,937750,,36055,0,,10846,652606,,10846,652606,,195871,76377,,55516,631044,,240392,0,,8216,413847,,
LF4_0,54387,1023824,,137701,363420,,69658,472739,,117531,447355,,26765,368010,,100015,435898,,36630,395179,,46943,11650,,8963,29708,,886899,212750,,93678,0,,1975,301870,,135489,55224,,1409861,347245,,165262,0,,32911,459408,,100059,755609,,18289,429017,,36169,428027,,27447,488130,,82147,39276,,139647,587952,,34989,497804,,124031,877107,,407153,0,,36833,392358,,36833,392358,,264021,104806,,69029,549576,,208969,0,,19235,385210,,
LF4_10,33703,924708,,105614,336736,,20835,420370,,46004,405889,,6189,328125,,31076,383278,,9397,352037,,48490,11881,,9662,26976,,815622,194706,,86282,0,,629,214288,,279427,89601,,1447203,352070,,164833,0,,14520,414106,,21034,684293,,28620,503637,,7249,402556,,5833,439127,,268891,100441,,113927,541675,,118111,457357,,400433,808755,,62775,0,,5166,468548,,5166,468548,,79635,32231,,30575,485318,,184785,0,,4565,362815,,
LF4_5,24510,479428,,83715,173986,,14673,191899,,20349,185245,,4152,157714,,18571,179938,,5881,165781,,37912,9246,,6132,13523,,409235,97312,,43113,0,,259,86150,,167833,50443,,671885,161566,,75429,0,,7840,189789,,13414,318750,,12756,224925,,5144,199239,,4131,212482,,197617,72806,,67568,272450,,93920,206930,,219701,369782,,38341,0,,2683,163348,,2683,163348,,48099,19257,,17178,247048,,93922,0,,2989,174220,,
HB14_0,11001,111153,,2498,9158,,114,2,,12,0,,1,3,,136,280,,0,0,,2710,670,,410,213,,4237,1005,,448,0,,55012,213,,5739,1753,,17562,4254,,3857,0,,102,38,,411,0,,711,525,,13,8,,290,1349,,45,49,,60,251,,172,41,,32,4,,5026,0,,0,0,,36,563,,485,200,,149,143,,362,0,,34,4,,
HB14_10,40426,981840,,110892,394243,,42020,501286,,29891,462331,,7813,384295,,56447,450292,,13355,414233,,158260,38132,,21949,34301,,944770,226643,,106861,0,,208,0,,226780,83126,,1431039,350570,,164926,0,,0,0,,34627,739284,,17757,421874,,11225,438618,,10792,485245,,340101,128879,,136312,564693,,126729,442648,,546268,820546,,4913,0,,501,0,,4643,333124,,80004,31971,,29095,445052,,169570,0,,5719,361016,,
HB14_5,59195,1646545,,87469,635896,,63009,826938,,47169,772749,,12461,629220,,87478,737722,,22007,675647,,282307,68084,,36689,56243,,1548365,371970,,170194,0,,2318,515105,,357084,127812,,2352226,579331,,270082,0,,290,0,,57616,1249969,,28820,797133,,17531,748710,,21732,807695,,521350,195194,,206764,940949,,262509,754159,,722234,1413248,,9033,0,,7187,498254,,7187,498254,,172620,67894,,54500,768226,,291170,0,,11055,616196,,
HB5_0,14521,277491,,111962,98913,,21150,112920,,24242,106786,,7978,95084,,31937,109804,,11417,99606,,42424,10242,,5805,8581,,234222,55632,,24861,0,,894,65137,,80555,25804,,317207,76690,,37950,0,,8763,105995,,28564,183550,,4819,67224,,9714,101205,,9295,124601,,228501,82601,,68813,146224,,6243,105953,,38449,197979,,23602,0,,3280,39309,,3280,39309,,36429,15159,,11485,106832,,40282,0,,6104,98212,,
HB5_10,35675,1128638,,79487,459837,,39643,586764,,102380,523597,,13395,447000,,48531,497846,,17795,472970,,86198,21145,,16024,37152,,1095059,261282,,120457,0,,2335,348669,,245068,83607,,1468734,357943,,169078,0,,18016,510400,,48856,825727,,50918,419994,,14871,491735,,10131,538813,,416912,153898,,157406,643678,,91724,416362,,689282,909038,,7313,0,,9340,569291,,9340,569291,,71204,28909,,30427,462662,,176017,0,,7650,419632,,
HB5_5,43392,835392,,92985,337056,,34564,427340,,27026,387279,,11464,324339,,42569,368054,,17441,345685,,113892,27730,,16787,29963,,821562,196962,,86908,0,,849,232969,,223329,75996,,1112456,271662,,130942,0,,17248,391065,,43224,626902,,56618,229936,,13234,346421,,10778,413629,,374533,140375,,141806,492867,,71293,297120,,451491,689884,,6059,0,,9644,465085,,9644,465085,,57603,22886,,22028,354928,,135690,0,,7701,335878,,
HF14_0,16556,153550,,9861,23889,,63,3,,15,0,,2,0,,27,78,,0,0,,13024,3190,,1342,502,,7081,1653,,745,0,,45411,422,,6176,1689,,18861,4634,,4048,0,,110,0,,413,0,,76,1296,,35,15,,45,390,,72,39,,111,481,,105,85,,89,1,,8752,0,,0,0,,32,522,,481,377,,385,250,,304,0,,8,0,,
HF14_10,32775,292451,,24547,83189,,40,2,,21,0,,2,0,,32,27,,0,0,,7797,1828,,918,654,,16007,3995,,1748,0,,155,0,,5963,1847,,26920,6480,,3182,0,,141,0,,0,0,,195,1873,,21,24,,77,2195,,42,38,,48,71,,41,64,,7,1,,542,0,,65,51,,65,51,,68,147,,77,55,,272,0,,52,12,,
HF14_5,60112,1241897,,103805,482055,,43386,628890,,59291,584268,,7931,479131,,0,0,,13562,514565,,447831,106202,,51142,44043,,1198338,285997,,126520,0,,1801,414685,,339404,111093,,1799885,440768,,206031,0,,3295,0,,40345,950390,,67319,499917,,250,0,,6997,504671,,729094,268988,,235075,736887,,163744,514684,,1325662,1098289,,7362,0,,60,0,,7144,544635,,143198,55911,,43153,539409,,204636,0,,5780,476859,,
HF5_0,50683,976336,,80487,355338,,69414,463587,,98026,449704,,21562,361219,,0,0,,28460,383331,,78642,19191,,12614,29550,,838997,201573,,89151,0,,2260,303279,,58383,37428,,1334988,328961,,157845,0,,25821,421884,,76448,718004,,13573,287438,,27350,430283,,23229,452527,,54881,24674,,109056,501773,,20023,432660,,121468,766331,,171104,0,,19497,302972,,19497,302972,,165024,66311,,46760,434405,,165062,0,,14418,350387,,
HF5_10,39259,944642,,71694,361893,,30917,467306,,34241,420866,,8427,352526,,0,0,,12402,376692,,101802,24971,,17684,31108,,876792,209994,,93196,0,,1370,265957,,230507,79538,,1307104,319596,,152439,0,,14119,426011,,43817,695008,,45080,323761,,9628,364234,,6721,435484,,353183,132666,,132503,516274,,88314,344884,,630572,754263,,8111,0,,7829,457557,,7829,457557,,82255,32577,,30419,386118,,146715,0,,4956,357496,,
HF5_5,57699,1226880,,103777,465952,,49772,592875,,61091,539355,,13209,454736,,0,0,,16684,485852,,125932,30275,,19174,36784,,1118755,267401,,121769,0,,3318,374025,,375798,120317,,1958850,479285,,224772,0,,19348,540890,,43966,888490,,42400,474026,,15688,550384,,10154,580935,,489765,178997,,162647,669958,,182212,494856,,760469,974427,,11430,0,,7707,487239,,7707,487239,,115678,45529,,36055,523564,,197286,0,,6581,431224,,
LB13_0,13869,412136,,48998,159792,,16656,147000,,13558,89392,,4687,133277,,0,0,,4644,121192,,265131,63197,,29071,14906,,346636,82118,,39927,0,,858,111340,,12612,9279,,493461,120613,,56118,0,,3135,12152,,14313,189175,,2434,148052,,5844,137320,,6030,160014,,14409,6646,,36761,214250,,5431,121623,,39178,325542,,95870,0,,0,0,,106,632,,62019,25455,,19853,214867,,81263,0,,3619,122503,,
LB13_10,28320,849231,,95394,346280,,27819,402541,,60544,391403,,6350,326064,,0,0,,11453,346602,,497506,117915,,53755,32983,,842972,202436,,90704,0,,1346,217616,,239870,78087,,1492502,364020,,168041,0,,4578,0,,36303,662223,,17673,471692,,8130,336943,,11984,441101,,306368,113162,,111593,530072,,141841,432249,,438006,810705,,5496,0,,111,0,,7226,522608,,67409,27151,,26029,463639,,176194,0,,6433,352805,,
LB13_5,16387,601496,,52127,238619,,16671,265516,,29072,256848,,3886,216079,,0,0,,6831,225838,,378679,89136,,40270,22949,,565486,135489,,60335,0,,425,158081,,148227,47289,,876389,212050,,97229,0,,3914,0,,19566,427930,,17125,261064,,5162,226716,,6352,295424,,233941,85247,,88154,361338,,82573,250019,,313104,519879,,7850,0,,3438,248786,,3438,248786,,54397,21451,,18479,289973,,109750,0,,3782,235033,,
LB14_0,23327,972789,,90442,373299,,55934,488908,,85670,481457,,11624,375142,,0,0,,14444,399867,,365257,86532,,39957,32586,,897845,214208,,94672,0,,1032,324310,,28169,28034,,1557650,382926,,179656,0,,2779,0,,63272,761742,,7821,516436,,18657,420278,,25053,477258,,16719,9665,,91073,567953,,18025,525452,,118589,886386,,173136,0,,18385,373107,,18385,373107,,122907,50416,,42385,558295,,214210,0,,13683,370073,,
LB14_10,52268,1080901,,84949,427473,,40758,549457,,56412,499611,,6431,413368,,0,0,,11756,442936,,432046,101409,,49299,39703,,1052775,253262,,112730,0,,1127,307209,,243296,80737,,1368654,335029,,156705,0,,36880,508125,,35691,806920,,63184,514592,,9213,420690,,10075,535205,,544858,202954,,201047,669759,,117019,440050,,1005713,975837,,6889,0,,9787,834665,,9787,834665,,114718,45666,,39514,541380,,205617,0,,5638,422276,,
LB14_5,30287,921962,,70314,357676,,35655,458739,,93990,420372,,6636,346168,,0,0,,11730,369930,,389878,92189,,43188,32203,,866788,207703,,92142,0,,1009,283311,,269836,82475,,1281410,311794,,143750,0,,15890,424451,,33712,675763,,56777,452918,,8817,348456,,9632,456947,,480159,174743,,157891,563289,,149863,385762,,826987,817031,,9013,0,,9213,645300,,9213,645300,,125043,48591,,35538,452421,,170798,0,,5385,356546,,
LB5_0,51263,1004844,,85353,356612,,89080,466917,,77086,452056,,23869,363028,,0,0,,29011,382879,,91387,22204,,13416,29046,,851969,203739,,89906,0,,1653,303041,,48441,34291,,1313997,322014,,154134,0,,34597,425005,,96050,718605,,19701,234581,,36679,435897,,31253,446656,,46136,20737,,109100,506702,,27235,395576,,173322,747314,,163384,0,,20229,247012,,20229,247012,,198695,77878,,51786,457598,,174812,0,,18407,331394,,
LB5_10,35691,993969,,68163,378260,,24723,471441,,18286,426007,,8781,368338,,0,0,,11196,394105,,106202,25939,,18525,32880,,911054,217341,,96505,0,,1123,265123,,236352,82574,,1437737,349753,,164091,0,,15526,459166,,36586,722671,,151067,197677,,11083,405913,,7577,472617,,448838,165144,,150313,560626,,42987,343139,,911399,784025,,7419,0,,6134,466299,,6134,466299,,84702,33538,,34141,420713,,159641,0,,5221,373989,,
LB5_5,35393,685701,,74220,270791,,21261,318815,,28481,301495,,6863,257062,,0,0,,8867,272021,,102239,24658,,15238,23256,,670198,160549,,70514,0,,1252,191393,,221302,72236,,1100172,267389,,126616,0,,12114,313334,,32459,504483,,30406,257400,,8813,277042,,6633,347865,,376947,138775,,111867,404856,,83517,276371,,650139,587252,,8663,0,,4537,266938,,4537,266938,,63875,25133,,20646,290647,,110574,0,,4398,277328,,
LF14_0,32628,906911,,86881,366701,,55449,487116,,236805,478613,,18991,371531,,0,0,,23191,397144,,454410,107798,,49439,34070,,877546,210517,,93453,0,,1923,316219,,31851,28766,,1550544,380664,,177744,0,,26790,458808,,80096,763637,,10161,482655,,24826,409383,,24159,476834,,26849,13827,,99613,559522,,24004,516297,,120911,882915,,193747,0,,19192,326467,,19192,326467,,124150,50272,,40783,521089,,199647,0,,15140,370421,,
LF14_10,28387,844578,,69751,337719,,24293,398818,,44775,380213,,5352,324514,,0,0,,8207,349270,,358917,84671,,40849,32174,,845415,202483,,105699,0,,1087,251897,,159787,58347,,1314369,321041,,149319,0,,13991,409501,,24650,640623,,23312,451809,,6425,337582,,7827,433183,,329643,123175,,137204,530593,,77084,389771,,656704,798510,,6378,0,,6691,596773,,6691,596773,,82923,33157,,30117,448485,,171119,0,,4785,343357,,
LF14_5,43322,1166832,,98094,469790,,39271,610746,,103670,574982,,8934,467882,,0,0,,15398,505781,,483543,114923,,54193,42525,,1157729,279201,,123196,0,,1651,352852,,238263,84749,,1943522,475511,,220123,0,,22011,597830,,43925,941965,,16037,720216,,10779,518033,,11851,627720,,385911,143884,,162782,744694,,173163,607048,,546844,1135675,,12294,0,,11847,859891,,11847,859891,,143175,56390,,46699,666380,,253207,0,,7186,486721,,
LF5_0,26203,732375,,60404,261821,,46949,327269,,50198,331535,,11586,261534,,0,0,,14585,276998,,87544,21143,,12055,21547,,628424,149787,,66048,0,,1040,227298,,29287,24696,,1049374,256883,,122338,0,,22444,310806,,53351,525204,,6412,210518,,18615,306876,,17804,334729,,24217,12022,,82630,385155,,10781,319277,,73767,581031,,98421,0,,10040,151068,,10040,151068,,135876,54352,,38049,373378,,142673,0,,10660,265128,,
LF5_10,34156,1065784,,79060,410057,,37349,516654,,29804,462051,,10197,388061,,0,0,,13851,413440,,127198,31063,,22100,35818,,971513,230985,,102693,0,,832,255728,,209645,75930,,1374016,337312,,160076,0,,17749,468126,,43262,753825,,184099,172150,,13859,449258,,10235,491638,,585340,216346,,200683,608929,,36484,331845,,1164174,836390,,5784,0,,6785,443034,,6785,443034,,89961,36149,,38842,470759,,179275,0,,6392,393642,,
LF5_5,17792,465659,,58508,184721,,15404,206000,,16201,196533,,4579,167892,,0,0,,7829,176815,,65946,16074,,9467,15430,,446992,106672,,47278,0,,685,127451,,107952,37707,,696267,168589,,79013,0,,9682,203359,,24091,332569,,10047,155683,,6292,189836,,6219,229536,,140208,51900,,56884,267100,,51702,185415,,195019,373864,,4716,0,,1691,106015,,1691,106015,,43646,17195,,13834,195929,,74131,0,,3788,186363,,
HB15_0,38459,828345,,166550,336315,,39094,443463,,38976,430224,,7148,339330,,30754,307193,,8992,363031,,39162,9878,,8027,26223,,805434,192580,,84883,0,,934,282328,,38116,32220,,1451493,356058,,168460,0,,15813,402465,,36950,675079,,7643,426381,,8554,337069,,11737,429748,,33946,17775,,101427,508049,,11153,466925,,67820,768536,,186507,0,,16084,439366,,16084,439366,,79047,33903,,34722,533364,,210645,0,,6650,337120,,
HB15_10,34023,901776,,75550,374733,,27189,494882,,14452,464941,,4063,374780,,25285,440817,,7215,404545,,89743,22044,,14840,30468,,943642,226569,,99354,0,,725,291917,,214763,78337,,1570932,387272,,182283,0,,12605,464672,,27374,747277,,27962,486202,,4827,324867,,5529,488685,,365021,137704,,141253,582068,,100008,444318,,596440,865034,,5486,0,,5607,733578,,5607,733578,,52154,21760,,27640,535508,,204004,0,,3377,390390,,
